Server Patch Management Report
Generated:,2026-03-09 15:22:16

Executive Summary
Total Servers Scanned,116
Servers Needing Updates,28
Total Updates Available,297
Servers Up to Date,88

Server Status Overview
Server Name,IP Address,OS Type,Patches,Status,Reboot Required
All_Shophub_Cron_adm,35.161.217.46,Amazon Linux 2023,0,Up to Date,No
16_Labels_PROD_Lapine,54.185.121.92,Amazon Linux 2023,0,Up to Date,No
Altria_Hive_Reporting_PROD_adm,44.235.203.97,Amazon Linux 2023,0,Up to Date,No
adm_Spark_Integration_PROD_Lapine,52.34.51.250,Amazon Linux 2023,0,Up to Date,No
adm_Spark_Integration_PREPROD_Lapine,35.83.212.249,Amazon Linux 2023,0,Up to Date,No
16_Labels_DEV_QA_Lapine,44.228.98.184,Amazon Linux 2023,0,Up to Date,No
adm_Brief_Integration_PROD_Lapine,35.166.193.226,Amazon Linux 2,12,12 Updates,No
adm_Brief_Integration_PREPROD_Lapine,54.189.208.250,Amazon Linux 2,12,12 Updates,No
adm_Spark_Integration_DEV_QA_UAT_Lapine,52.33.201.224,Amazon Linux 2,12,12 Updates,No
adm_Brief_Integration_DEV_QA_UAT_Lapine,44.239.229.13,Amazon Linux 2,13,13 Updates,No
Altria_MR_State_Hats_DEV_QA_UAT_PREPROD_Lapine,44.232.96.252,Amazon Linux 2023,0,Up to Date,No
Altrianew_Hire_RME_Catelogue_DEV_QA_UAT_Lapine,52.35.165.105,Amazon Linux 2023,0,Up to Date,No
Altria_Spark_DEV_QA_UAT_PREPROD_adm,44.228.186.101,Amazon Linux 2023,0,Up to Date,No
Altria_Spark_PROD_adm,44.252.182.45,Amazon Linux 2023,0,Up to Date,No
Altrianew_Hire_RME_Catelogue_PROD_Lapine,54.218.123.21,Amazon Linux 2023,0,Up to Date,No
Atlassian_Spark_PROD_adm,52.89.223.140,Amazon Linux 2023,0,Up to Date,No
Atlassian_Spark_DEV_QA_UAT_PREPROD_adm,34.209.254.13,Amazon Linux 2023,0,Up to Date,No
AltriaOC2_ALL_DEV_QA_UAT_Lapine,52.12.185.54,Amazon Linux 2023,0,Up to Date,No
AltriaOC2_Store_PROD_Lapine,35.161.183.15,Amazon Linux 2023,0,Up to Date,No
Balcones_DEV_QA_UAT_Lapine,34.210.235.113,Amazon Linux 2023,0,Up to Date,No
Balcones_PROD_Lapine,52.40.99.142,Amazon Linux 2023,0,Up to Date,No
Captain_Morgan_PROD_Lapine,44.230.156.225,Amazon Linux 2,14,14 Updates,No
Customer_Portal_PROD_Lapine,44.238.2.190,Amazon Linux 2,11,11 Updates,No
Crown_Royal_Canada_PROD_Lapine,44.232.54.9,Amazon Linux 2,14,14 Updates,No
Crown_Royal_USA_PROD_Lapine,54.202.81.0,Amazon Linux 2,14,14 Updates,No
CRM_Shopify_Connector_DEV_QA_UAT_Lapine,35.161.183.144,Amazon Linux 2,14,14 Updates,No
Development1_Multiple_Projects_Lapine,54.213.79.152,Unknown,0,Up to Date,No
Customer_Vendor_Portal_DEV_QA_UAT_Lapine_New,35.166.67.102,Amazon Linux 2023,0,Up to Date,No
Customer_Vendor_Portal_DEV_QA_UAT_Lapine_Old,35.155.136.238,Amazon Linux 2,11,11 Updates,No
Analytics_PROD_Lapine,54.212.234.131,Ubuntu 20.04,0,Up to Date,Yes
DB_Notification_Lapine,52.34.89.58,Amazon Linux 2023,0,Up to Date,No
DFWS_Spark_PROD_Lapine,52.43.233.5,Amazon Linux 2023,0,Up to Date,No
DFWS_Spark_DEV_QA_UAT_Lapine,52.26.20.190,Amazon Linux 2,12,12 Updates,No
Diageo_Spark_PROD_Lapine,54.71.83.46,Amazon Linux 2023,0,Up to Date,No
Diageo_Spark_DEV_QA_UAT_Lapine,54.149.110.152,Amazon Linux 2023,0,Up to Date,No
ECP_PromoCMS_PROD_Effectus,44.224.78.112,Amazon Linux 2023,0,Up to Date,No
Custom_Shipping_Rate_App1_PROD_Lapine,52.33.83.122,Ubuntu 20.04,0,Up to Date,Yes
Diageo_DEV_Lapine,54.212.24.212,Amazon Linux 2,14,14 Updates,No
DYB_PROD_Lapine,50.112.65.87,Amazon Linux 2,14,14 Updates,No
Custom_Shipping_Rate_PROD_Lapine,52.40.245.87,Ubuntu 20.04,0,Up to Date,Yes
LISP_DEV_QA_UAT_Lapine,52.42.253.237,Amazon Linux 2023,0,Up to Date,No
LISP_PROD_adm,16.146.196.183,Amazon Linux 2023,0,Up to Date,No
Ignitors_PROD_Lapine,54.69.163.106,Amazon Linux 2,11,11 Updates,No
Lone_River_Diageo_DEV_QA_Lapine,54.188.31.42,Amazon Linux 2023,0,Up to Date,No
LISP_PROD_Lapine,44.226.91.215,Amazon Linux 2,14,14 Updates,No
Lone_River_PROD_Lapine,44.238.166.5,Amazon Linux 2023,0,Up to Date,No
ECP_PROD_Effectus,44.230.45.39,Ubuntu 24.04,4,4 Updates,Yes
Mastercard_B2C_DEV_QA_UAT_PREPROD_Lapine,54.188.140.116,Amazon Linux 2023,0,Up to Date,No
Engage_PROD_Effectus,44.246.67.50,Ubuntu 24.04,7,7 Updates,Yes
Mastercard_B2C_PROD_Lapine,52.39.98.53,Amazon Linux 2023,0,Up to Date,No
Engage_DEV_UAT_Effectus,34.218.199.159,Ubuntu 24.04,7,7 Updates,Yes
ECP_QA_Effectus,44.235.21.132,Ubuntu 24.04,8,8 Updates,Yes
Mastercard_DEV_QA_UAT_PREPROD_Lapine,44.231.255.135,Amazon Linux 2023,0,Up to Date,No
ECP_DEV_Effectus,44.237.196.36,Ubuntu 24.04,4,4 Updates,Yes
Mastercard_Spark_PROD_Lapine,54.189.104.201,Amazon Linux 2023,0,Up to Date,No
Mr_Black_DEV_QA_Lapine,34.209.83.230,Amazon Linux 2023,0,Up to Date,No
Mr_Black_PROD_Lapine,52.27.107.83,Amazon Linux 2023,0,Up to Date,No
ECP_UAT_Effectus,44.242.67.137,Ubuntu 24.04,9,9 Updates,Yes
NYU_Appreciation_2025_DEV_QA_UAT_PREPROD_Lapine,34.208.70.140,Amazon Linux 2023,0,Up to Date,No
NYU_Appreciation_2025_PROD_Lapine,34.209.84.168,Amazon Linux 2023,0,Up to Date,No
NYULH_Spark_DEV_QA_UAT_Lapine,44.234.210.89,Amazon Linux 2023,0,Up to Date,No
NYULH_Spark_PREPROD_Lapine,54.203.242.15,Amazon Linux 2023,0,Up to Date,No
NYULH_Spark_PROD_Lapine,52.37.118.189,Amazon Linux 2023,0,Up to Date,No
Pepsi_Commet_Store_DEV_QA_UAT_Lapine,52.24.93.210,Amazon Linux 2023,0,Up to Date,No
Pepsi_Commet_Store_PROD_Lapine,52.26.70.84,Amazon Linux 2023,0,Up to Date,No
Pepsi_Spark_DEV_QA_UAT_Lapine,35.160.158.82,Amazon Linux 2023,0,Up to Date,No
Pepsi_Spark_PREPROD_Lapine,54.203.103.167,Amazon Linux 2023,0,Up to Date,No
Pepsi_Spark_PROD_Lapine,44.225.42.185,Amazon Linux 2023,0,Up to Date,No
OpenVPN_PROD,54.218.238.64,Unknown,0,Up to Date,No
PepsiCo_SPP_PROD_Lapine,35.160.16.123,Amazon Linux 2,12,12 Updates,No
Shipping_API_DEV_Lapine,35.163.38.226,Amazon Linux 2023,0,Up to Date,No
Shipping_API_PROD_Lapine,52.89.233.244,Amazon Linux 2023,0,Up to Date,No
Shop_21_seeds_PROD_Lapine,54.149.186.192,Amazon Linux 2023,0,Up to Date,No
Shop_Accor_DEV_QA_UAT_PREPROD_adm,52.39.46.241,Amazon Linux 2023,0,Up to Date,No
Shop_Accor_PROD_adm,16.145.35.215,Amazon Linux 2023,0,Up to Date,No
Shop_Atlassian_PROD_adm,44.225.147.107,Unknown,0,Up to Date,No
Print_Shopify_BulkOrder_PROD_adm,35.84.67.238,Ubuntu 24.04,13,13 Updates,Yes
Product_Customizer_PROD_adm,44.235.204.29,Ubuntu 24.04,13,13 Updates,Yes
Shop_Atlassian_DEV_QA_UAT_PREPROD_adm,52.39.155.38,Amazon Linux 2023,0,Up to Date,No
Shop_21_seeds_DEV_QA_Lapine,44.224.157.244,Amazon Linux 2,15,15 Updates,No
Shop_DFWSOW_DEV_QA_UAT_Lapine,52.40.255.8,Amazon Linux 2023,0,Up to Date,No
Print_Shopify_BulkOrder(Beta)_Lapine,35.162.138.149,Ubuntu 20.04,0,Up to Date,Yes
Sharp_Shopify_PROD_Lapine,44.238.245.126,Ubuntu 20.04,0,Up to Date,Yes
Print_Shopify_BulkOrder(Live)_PROD_Lapine,52.33.237.34,Unknown,0,Up to Date,No
Shop_DFWSOW_PREPROD_Lapine,35.81.238.126,Amazon Linux 2023,0,Up to Date,No
Shop_DFWSOW_PROD_Lapine,34.215.220.190,Amazon Linux 2023,0,Up to Date,No
Shop_Marriot_DEV_QA_UAT_PREPROD_Lapine,44.230.220.212,Amazon Linux 2023,0,Up to Date,No
Product_Customizer_PROD_Lapine,34.214.166.219,Ubuntu 20.04,0,Up to Date,Yes
Shop_Marriot_PROD_adm,34.209.171.197,Amazon Linux 2023,0,Up to Date,No
Shop_NYU_Internal_DEV_QA_Lapine,52.25.125.42,Amazon Linux 2023,0,Up to Date,No
Shop_NYU_Internal_PROD_Lapine,35.167.235.56,Amazon Linux 2023,0,Up to Date,No
